circuitId,name,length,country
1,Circuit 1,4749.080237694725,Various
2,Circuit 2,5901.428612819833,Various
3,Circuit 3,5463.98788362281,Various
4,Circuit 4,5197.316968394073,Various
5,Circuit 5,4312.037280884873,Various
6,Circuit 6,4311.989040672405,Various
7,Circuit 7,4116.167224336399,Various
8,Circuit 8,5732.352291549871,Various
9,Circuit 9,5202.230023486418,Various
10,Circuit 10,5416.145155592091,Various
11,Circuit 11,4041.168988591605,Various
12,Circuit 12,5939.819704323989,Various
13,Circuit 13,5664.885281600844,Various
14,Circuit 14,4424.678221356552,Various
15,Circuit 15,4363.649934414201,Various
16,Circuit 16,4366.809019706868,Various
17,Circuit 17,4608.484485919075,Various
18,Circuit 18,5049.5128632644755,Various
19,Circuit 19,4863.890037284232,Various
20,Circuit 20,4582.458280396084,Various
21,Circuit 21,5223.705789444759,Various
22,Circuit 22,4278.987721304084,Various
23,Circuit 23,4584.289297070436,Various
24,Circuit 24,4732.723686587384,Various
25,Circuit 25,4912.139968434072,Various
